date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:35:36	13565/13565	---MCZ	200	added ('OK')	text/html	etag:W/%2261ebb2f4-34fd%22	https://demo.themefisher.com/thomson/index.html	/home/nduati/websites/Template/demo.themefisher.com/thomson/index.html	(from )
21:35:37	45/45	---MCZ	200	added ('OK')	text/plain	etag:W/%2261ebb2f3-19%22	https://demo.themefisher.com/robots.txt		(from )
21:35:38	140930/140930	---MCZ	200	added ('OK')	text/css	etag:W/%2261ebb2f4-22682%22	https://demo.themefisher.com/thomson/plugins/bootstrap/bootstrap.min.css	/home/nduati/websites/Template/demo.themefisher.com/thomson/plugins/bootstrap/bootstrap.min.css	(from https://demo.themefisher.com/thomson/index.html)
21:35:39	16403/16403	---MCZ	200	added ('OK')	text/css	etag:W/%2261ebb2f4-4013%22	https://demo.themefisher.com/thomson/plugins/themify/css/themify-icons.css	/home/nduati/websites/Template/demo.themefisher.com/thomson/plugins/themify/css/themify-icons.css	(from https://demo.themefisher.com/thomson/index.html)
21:35:39	77758/77758	---MCZ	200	added ('OK')	text/css	etag:W/%2261ebb2f4-12fbe%22	https://demo.themefisher.com/thomson/plugins/counto/animate.css	/home/nduati/websites/Template/demo.themefisher.com/thomson/plugins/counto/animate.css	(from https://demo.themefisher.com/thomson/index.html)
21:35:41	25983/25983	---MCZ	200	added ('OK')	text/css	etag:W/%2261ebb2f4-657f%22	https://demo.themefisher.com/thomson/plugins/aos/aos.css	/home/nduati/websites/Template/demo.themefisher.com/thomson/plugins/aos/aos.css	(from https://demo.themefisher.com/thomson/index.html)
21:35:42	3351/3351	---MCZ	200	added ('OK')	text/css	etag:W/%2261ebb2f4-d17%22	https://demo.themefisher.com/thomson/plugins/owl-carousel/owl.carousel.min.css	/home/nduati/websites/Template/demo.themefisher.com/thomson/plugins/owl-carousel/owl.carousel.min.css	(from https://demo.themefisher.com/thomson/index.html)
21:35:43	1013/1013	---MCZ	200	added ('OK')	text/css	etag:W/%2261ebb2f4-3f5%22	https://demo.themefisher.com/thomson/plugins/owl-carousel/owl.theme.default.min.css	/home/nduati/websites/Template/demo.themefisher.com/thomson/plugins/owl-carousel/owl.theme.default.min.css	(from https://demo.themefisher.com/thomson/index.html)
21:35:44	6951/6951	---MCZ	200	added ('OK')	text/css	etag:W/%2261ebb2f4-1b27%22	https://demo.themefisher.com/thomson/plugins/magnific-popup/magnific-popup.css	/home/nduati/websites/Template/demo.themefisher.com/thomson/plugins/magnific-popup/magnific-popup.css	(from https://demo.themefisher.com/thomson/index.html)
21:35:45	25709/25709	---MCZ	200	added ('OK')	text/css	etag:W/%2261ebb2f4-646d%22	https://demo.themefisher.com/thomson/plugins/animated-text/animated-text.css	/home/nduati/websites/Template/demo.themefisher.com/thomson/plugins/animated-text/animated-text.css	(from https://demo.themefisher.com/thomson/index.html)
21:35:46	12892/12892	---MCZ	200	added ('OK')	text/css	etag:W/%2261ebb2f3-325c%22	https://demo.themefisher.com/thomson/css/style.css	/home/nduati/websites/Template/demo.themefisher.com/thomson/css/style.css	(from https://demo.themefisher.com/thomson/index.html)
21:35:46	2801/2801	---M--	200	added ('OK')	image/png	etag:%2261ebb2f4-af1%22	https://demo.themefisher.com/thomson/images/logo.png	/home/nduati/websites/Template/demo.themefisher.com/thomson/images/logo.png	(from https://demo.themefisher.com/thomson/index.html)
21:35:48	10103/10103	---MCZ	200	added ('OK')	text/html	etag:W/%2261ebb2f3-2777%22	https://demo.themefisher.com/thomson/about.html	/home/nduati/websites/Template/demo.themefisher.com/thomson/about.html	(from https://demo.themefisher.com/thomson/index.html)
21:35:49	10400/10400	---MCZ	200	added ('OK')	text/html	etag:W/%2261ebb2f3-28a0%22	https://demo.themefisher.com/thomson/about-us.html	/home/nduati/websites/Template/demo.themefisher.com/thomson/about-us.html	(from https://demo.themefisher.com/thomson/index.html)
21:35:50	10899/10899	---MCZ	200	added ('OK')	text/html	etag:W/%2261ebb2f4-2a93%22	https://demo.themefisher.com/thomson/portfolio-1.html	/home/nduati/websites/Template/demo.themefisher.com/thomson/portfolio-1.html	(from https://demo.themefisher.com/thomson/index.html)
21:35:51	11719/11719	---MCZ	200	added ('OK')	text/html	etag:W/%2261ebb2f4-2dc7%22	https://demo.themefisher.com/thomson/portfolio-2.html	/home/nduati/websites/Template/demo.themefisher.com/thomson/portfolio-2.html	(from https://demo.themefisher.com/thomson/index.html)
21:35:52	10883/10883	---MCZ	200	added ('OK')	text/html	etag:W/%2261ebb2f4-2a83%22	https://demo.themefisher.com/thomson/portfolio-3.html	/home/nduati/websites/Template/demo.themefisher.com/thomson/portfolio-3.html	(from https://demo.themefisher.com/thomson/index.html)
